description,value,dueDate
Boleto do taxi,1530,2025-03-17T15:00:00
Conta de luz,280,2025-03-20T12:00:00
Fatura do cartão,4500,2025-03-25T18:30:00
Aluguel do escritório,7500,2025-04-01T00:00:00
Mensalidade do coworking,1200,2025-04-05T10:15:00
Plano de saúde,850,2025-04-10T14:00:00
Compra de equipamentos,3200,2025-04-15T09:45:00
Curso de atualização,980,2025-04-18T17:20:00
Hospedagem do site,600,2025-04-22T23:59:00
Assinatura de software,299,2025-04-28T08:30:00
Despesa com internet,200,2025-05-01T13:00:00
IPTU,2500,2025-05-10T16:45:00
Seguro empresarial,1800,2025-05-15T11:30:00
Marketing digital,1350,2025-05-20T20:00:00
